internet,computer,wealth,mean_TestScore
no,no,-1.677516144,269.03
no,yes,0.197312638,295.917
no,no,-0.219180327,306.8613333
no,no,-0.751656468,318.2636667
no,no,0.402681343,352.1116667
yes,no,-0.274119726,349.977
yes,no,0.562267215,350.375
no,no,-0.743982393,353.852
no,no,-0.107644628,200.4663333
no,no,-1.490024545,322.581
no,no,0.480032528,405.3653333
no,no,-1.034725179,351.7413333
yes,yes,-0.200169551,327.3663333
no,no,-0.445565532,262.142
no,no,-0.592332212,247.0236667
no,no,-0.646486762,315.5676667
no,yes,-0.619278679,383.1776667
no,no,-1.177044384,343.7946667
no,no,-1.217333276,359.142
no,no,-0.94324672,304.7503333
no,no,-1.039783092,353.1166667
no,no,-1.698009412,275.708
yes,yes,0.375211643,523.5883333
no,yes,0.130862127,472.7616667
yes,yes,0.530873273,547.2113333
yes,yes,0.096939229,422.0373333
yes,no,0.544913341,467.5316667
yes,yes,1.611435319,502.0133333
yes,yes,1.18404168,433.01
yes,yes,0.918501253,438.0293333
yes,yes,0.249635875,496.007
yes,yes,0.706940965,490.849
yes,yes,-0.06500119,499.0906667
no,yes,1.635416803,405.059
yes,no,0.710952413,494.9576667
no,no,0.564621761,452.837
yes,yes,0.689151064,442.9643333
no,yes,0.23742712,469.99
yes,yes,0.563836912,469.6883333
yes,yes,1.810002003,540.5096667
no,yes,-0.490999543,475.2763333
yes,yes,2.046415828,438.061
yes,yes,2.173735705,451.6396667
yes,yes,-0.232697164,568.192
yes,yes,0.937076002,474.5066667
yes,no,1.762213447,502.41
yes,yes,1.046605978,464.1636667
yes,yes,0.918501253,468.454
yes,yes,1.387143044,433.349
yes,no,0.245101194,504.1803333
yes,yes,0.245101194,508.665
yes,yes,0.559563848,503.2723333
yes,yes,0.544913341,526.7073333
yes,no,-0.311618046,463.0903333
yes,yes,0.299430155,537.2216667
yes,yes,0.660286079,516.7156667
yes,yes,1.577948448,392.5673333
yes,yes,0.577789775,429.7636667
no,yes,-0.482627825,478.262
yes,yes,-0.06500119,399.452
yes,yes,1.168780736,488.9283333
yes,yes,1.296798255,493.8806667
yes,yes,1.415746414,311.645
yes,yes,1.988685857,303.537
yes,yes,0.448028148,302.7236667
no,no,-0.029159772,349.5276667
no,no,-0.625644672,383.3966667
no,no,0.699005274,253.792
no,no,-0.625644672,314.2233333
yes,no,0.585027823,341.6806667
yes,yes,0.918762869,291.7263333
yes,no,-0.391934214,442.524
yes,no,0.133129467,335.4056667
no,no,-0.287898179,242.276
no,no,-0.153863487,398.177
yes,no,0.42962781,403.3346667
no,no,-0.4660588,313.405
yes,no,-0.541665877,418.8016667
no,yes,0.093451013,340.2043333
yes,yes,0.918501253,286.8306667
yes,yes,0.18440624,198.6123333
no,no,-0.019392768,332.422
no,no,-0.048344959,410.9653333
yes,yes,1.488301302,314.5066667
no,no,-0.468064524,397.024
yes,no,0.408524104,339.877
no,yes,1.151601273,288.8123333
no,no,-0.525881701,390.4103333
no,no,-1.014493528,396.9673333
yes,no,-0.643783395,362.2626667
no,yes,0.093451013,369.755
yes,no,-0.04965304,339.755
no,no,-0.343884042,362.5333333
no,no,-0.118894123,321.5333333
yes,yes,0.530873273,372.239
no,no,-0.079128463,426.2696667
yes,no,0.226788061,286.725
yes,no,0.618078668,295.4613333
yes,no,0.131734181,333.8673333
no,no,-0.728023806,404.6796667
yes,no,-0.649887772,280.9326667
no,no,-0.287898179,333.41
no,no,-0.730552762,352.108
no,no,-0.707704949,339.0026667
no,no,-0.607680361,402.339
yes,yes,-0.098488061,512.555
no,no,-1.155417446,338.6193333
yes,no,0.097811283,312.0933333
no,no,-0.002736538,330.102
yes,yes,-0.187350358,507.492
yes,yes,0.603776983,361.1073333
no,no,0.109496805,323.665
no,no,-1.698009412,431.019
no,no,-0.024363476,330.6546667
no,no,-0.594599552,381.4306667
yes,no,-0.070582335,378.4656667
no,no,0.502269903,482.5863333
no,no,-0.602884064,302.0533333
no,no,-0.904527525,336.619
yes,no,0.650867896,472.448
no,no,-1.477902995,325.3863333
yes,yes,0.443144646,395.046
yes,no,0.298994128,299.7503333
yes,no,0.505147681,388.1036667
no,no,0.035633836,408.7243333
yes,no,0.333178643,393.0996667
yes,no,-0.541665877,411.6696667
yes,yes,0.187371223,367.5003333
yes,yes,2.015545119,435.0383333
yes,no,-0.538875305,412.2293333
yes,no,-0.284235552,353.617
no,no,-0.877145031,406.265
yes,no,-0.940020121,386.304
yes,yes,0.991579373,348.891
yes,no,0.186935196,318.972
no,no,-1.02940565,321.7986667
yes,no,0.895391823,408.844
yes,no,0.327074265,414.877
no,no,-0.619278679,402.6653333
no,no,-4.190252389,333.2256667
no,no,-4.190252389,331.4326667
no,no,-1.642721192,320.1936667
no,no,-4.190252389,359.4336667
no,no,-2.317952563,458.4083333
no,no,-0.709536262,354.2506667
no,no,-4.190252389,319.17
no,no,-2.317952563,306.6686667
no,no,-1.221519135,495.5056667
no,no,-4.190252389,308.128
yes,yes,1.436239681,593.8396667
yes,yes,1.019397894,593.9596667
yes,yes,2.025399328,534.2653333
yes,yes,1.805205707,461.4703333
yes,yes,0.691854432,604.318
yes,yes,1.810002003,558.9283333
yes,yes,0.91344334,425.59
yes,yes,0.134088727,508.788
no,yes,2.56258456,386.9966667
yes,yes,2.122633343,535.204
yes,yes,1.897207398,555.67
yes,yes,1.235580068,509.1626667
yes,yes,0.662204597,499.0173333
yes,yes,1.094830561,509.937
yes,yes,1.094830561,517.9943333
yes,yes,1.472604331,459.83
yes,no,0.234985368,368.9616667
yes,yes,0.484305592,637.9623333
yes,yes,1.371184457,412.651
yes,yes,2.172950856,557.491
yes,yes,1.466761569,472.205
yes,yes,1.669165291,495.8503333
yes,yes,1.639515456,540.4763333
yes,yes,1.445134632,530.877
yes,yes,1.6191966,563.8823333
yes,yes,1.225377037,576.6686667
yes,yes,1.267933269,495.742
yes,yes,1.699251152,576.489
no,yes,0.937599234,454.885
yes,yes,0.563836912,390.4953333
yes,yes,1.851598977,588.756
yes,yes,0.588777655,533.2766667
yes,yes,1.805641734,370.156
yes,yes,0.530873273,524.9136667
yes,yes,2.362797001,562.654
yes,yes,1.318686809,513.5913333
yes,yes,0.802430872,530.1986667
no,no,0.968818765,490.354
yes,yes,0.653309647,552.2236667
yes,yes,1.465453489,641.9646667
no,no,-1.642721192,535.7533333
yes,yes,3.050673155,421.4363333
yes,yes,1.786805368,546.3556667
yes,yes,1.135468275,406.637
yes,yes,0.998294189,459.9173333
yes,no,1.094830561,468.106
yes,no,0.59645173,459.793
yes,yes,1.318686809,476.968
yes,yes,0.108886368,488.3213333
yes,yes,2.54610274,425.5206667
yes,yes,0.090747646,495.794
no,yes,-0.146974261,448.3703333
yes,yes,1.267410037,389.5526667
yes,yes,2.682404772,511.9236667
yes,yes,2.056706065,517.8546667
no,no,0.093451013,427.694
yes,yes,0.835394511,502.8113333
no,no,-0.237057433,459.435
yes,no,1.043117762,542.029
yes,no,1.094830561,485.7076667
yes,yes,1.975256226,355.941
no,no,-0.454460483,479.237
yes,no,1.921101676,470.1
yes,yes,1.140438982,479.306
yes,yes,0.377478984,492.014
yes,yes,1.370050787,457.226
yes,yes,0.322452379,476.2063333
yes,yes,0.326376622,423.848
yes,no,0.836789798,444.1873333
no,yes,-0.019392768,464.3133333
yes,yes,0.434511312,462.96
yes,yes,2.158823582,533.0456667
yes,yes,1.810002003,467.4666667
yes,yes,0.384281004,522.1306667
yes,yes,1.475133287,559.945
yes,yes,1.318686809,495.9396667
yes,yes,3.738113281,482.8373333
no,no,-0.844181392,285.928
no,no,-0.206971572,327.711
no,no,-0.877145031,314.381
yes,no,-0.115057086,316.3216667
no,no,-0.842262873,293.9316667
no,no,0.664646348,322.465
no,no,-0.696193837,339.3136667
yes,yes,-0.841216408,345.3176667
no,no,0.363787737,430.3923333
no,no,-0.789154788,340.6856667
yes,no,-0.070582335,408.4226667
no,no,0.622613348,315.324
yes,no,0.455266196,412.956
yes,yes,0.444365521,329.275
yes,yes,-0.570792479,328.6916667
yes,no,-0.975338305,285.4536667
no,no,-0.46265779,323.4743333
no,yes,0.733102583,368.712
no,no,-0.707704949,372.0566667
no,no,-0.326704579,336.8586667
no,no,-0.12578335,274.4206667
yes,no,0.365095817,312.926
no,yes,-0.715553434,397.7583333
yes,no,0.048801851,418.515
yes,no,0.291668875,320.868
no,no,-0.980570629,338.4336667
no,no,-1.261546411,325.581
no,no,-1.357908372,472.437
no,no,-0.789154788,388.6653333
no,no,-0.448530516,328.2393333
no,no,-0.390800544,359.7483333
no,yes,-0.247434875,311.9513333
no,no,-0.411468223,282.3676667
no,no,0.073917004,377.8973333
no,no,-0.575239954,277.2646667
no,no,-1.014493528,413.635
no,no,0.469916702,405.7973333
yes,yes,-0.209674939,418.3213333
yes,yes,0.170889403,457.4756667
yes,no,-0.152206584,437.0333333
yes,no,-0.916474664,431.2406667
no,no,-0.477657118,392.7313333
no,no,-1.789749487,337.9863333
no,no,-0.842262873,434.5403333
no,yes,-0.48916823,282.604
no,no,-1.642721192,327.2596667
no,yes,-0.264527133,407.0863333
yes,yes,0.437650706,327.7633333
yes,no,-0.269061813,300.726
no,no,-0.162147999,238.993
no,no,-0.621109992,342.3343333
no,no,-1.177044384,443.4376667
no,no,-1.177044384,368.599
no,no,-0.04851937,366.3683333
no,no,-1.698009412,360.5066667
yes,no,0.249635875,408.427
yes,yes,-0.317286397,364.8966667
yes,no,1.12003292,300.0153333
no,no,-1.177044384,392.2383333
no,no,-0.243336222,498.7913333
no,yes,-0.208366859,354.284
yes,no,0.304139247,335.5683333
no,yes,-1.490024545,332.7293333
no,no,-0.219180327,317.955
no,no,-1.393662584,318.7353333
no,yes,0.055778282,368.5236667
no,no,-1.01161575,386.9966667
yes,no,0.246845302,377.1036667
no,no,-1.698009412,374.0853333
no,no,-1.393662584,386.1116667
no,no,-1.612199303,374.2033333
yes,no,-0.165287393,346.2176667
yes,no,-0.20531467,388.7613333
no,no,-0.877145031,384.6576667
no,no,0.432592793,362.7433333
no,no,-0.998098913,378.0696667
no,yes,-0.201216016,357.4736667
no,no,-0.084186376,315.8686667
no,no,-0.728023806,381.405
no,no,-0.491609981,399.8596667
no,no,-1.177044384,417.5333333
yes,no,1.510800294,347.447
no,yes,-0.325222087,432.293
yes,no,0.062667508,283.9176667
no,no,-0.362633202,338.0423333
no,no,-0.141393115,397.7913333
yes,yes,0.195219708,447.3213333
yes,yes,1.168780736,531.778
yes,yes,1.6191966,511.3816667
yes,no,0.361694807,413.873
yes,yes,-0.490127489,390.393
no,yes,-1.212188158,479.2473333
yes,no,-0.125260117,380.7643333
yes,yes,-0.184210964,467.5753333
yes,yes,0.401896494,383.67
no,yes,-1.01048208,461.483
yes,yes,1.062564565,472.5683333
no,no,-0.707704949,521.478
yes,no,1.9441239,468.187
yes,no,2.010923233,473.9173333
yes,no,0.33361467,421.2283333
yes,no,0.823708988,448.2733333
yes,no,1.365777722,478.6023333
yes,yes,0.134088727,496.3133333
yes,yes,2.180276109,487.584
yes,yes,0.350706927,455.6763333
yes,yes,1.875231639,437.2446667
yes,no,0.812285082,498.6463333
yes,no,-0.121684696,471.052
no,yes,-1.149749095,503.9153333
yes,yes,0.607875636,459.5373333
no,no,-0.118894123,424.087
no,no,-0.696193837,496.389
yes,yes,-0.169037225,444.0983333
yes,yes,1.392462573,331.436
yes,yes,1.420281094,459.0126667
yes,yes,-0.414346001,418.2163333
no,yes,0.527821084,449.659
yes,yes,1.428478401,444.4946667
yes,yes,1.128230227,436.158
no,yes,-0.019392768,502.2756667
no,yes,0.201672908,491.0823333
no,no,-0.270893127,460.0263333
yes,yes,0.462504243,478.749
yes,yes,0.19879513,490.7766667
yes,yes,1.094830561,568.2913333
yes,yes,1.541234977,488.764
yes,yes,1.589808381,537.7493333
yes,yes,1.580913431,534.751
yes,yes,0.79754737,538.0073333
yes,no,0.936203948,445.332
yes,yes,1.886045107,516.7443333
yes,no,-0.522044663,471.736
yes,yes,1.544112755,553.8296667
yes,yes,2.012231314,334.0423333
yes,yes,0.023686697,492.0176667
yes,yes,1.793607389,511.96
yes,yes,0.834784074,398.5433333
yes,yes,3.428272514,405.4053333
yes,yes,1.70552994,492.008
yes,no,0.190859439,466.14
no,yes,0.617032203,479.844
yes,yes,1.047826853,556.7033333
yes,yes,1.404758534,461.0836667
yes,yes,1.769189878,529.1866667
yes,yes,1.45027975,574.9203333
yes,yes,2.029934009,494.1096667
yes,yes,1.334558191,523.3333333
yes,yes,1.656171687,490.216
yes,yes,1.441908032,457.4056667
yes,yes,1.094830561,529.2853333
no,yes,1.442867291,563.2043333
no,no,-1.364535982,449.3173333
yes,yes,0.810104947,563.467
yes,no,0.211178296,539.4266667
yes,yes,2.137109439,552.5986667
yes,yes,2.479390613,528.575
yes,yes,1.043117762,618.1516667
yes,yes,1.995749494,465.5766667
yes,yes,1.354964253,394.1553333
yes,yes,2.132313142,462.8223333
yes,yes,1.200436294,470.541
yes,yes,0.899141655,564.2393333
no,yes,0.09842172,383.605
no,no,-1.014493528,332.3333333
yes,no,0.298906923,427.865
yes,yes,0.532181354,489.7366667
yes,yes,0.415674946,453.4516667
yes,no,-0.764475661,415.8876667
yes,no,-0.33028,359.3606667
no,no,-1.642721192,408.4596667
no,yes,0.158244621,369.0526667
yes,no,-0.570792479,437.8776667
yes,yes,1.914125245,436.7866667
yes,no,-0.219965176,349.134
no,no,0.035633836,362.1883333
yes,yes,1.510277061,336.2406667
no,no,0.319836218,441.2916667
yes,yes,-0.420275968,417.7436667
yes,yes,1.116631909,434.3653333
yes,no,0.675198201,434.7963333
yes,yes,0.113944281,387.3556667
no,yes,0.12606583,334.337
no,yes,0.124321723,416.99
no,no,-0.472250383,425.942
yes,yes,1.064657494,482.1306667
no,no,0.480032528,458.1323333
no,no,-0.534340624,433.717
no,yes,0.017495114,459.1393333
no,yes,-0.019392768,438.3453333
yes,no,-0.284235552,299.1163333
yes,yes,1.378335299,466.018
yes,yes,1.318686809,458.5743333
no,no,-1.077717439,337.653
yes,no,0.987567925,453.4436667
no,no,-0.371876974,430.115
yes,yes,0.384281004,440.3256667
yes,no,0.253908939,298.6473333
yes,no,0.505147681,294.0076667
no,no,-0.619278679,337.2156667
no,no,-0.375016368,312.2336667
yes,no,0.415674946,353.4956667
yes,no,0.720981033,423.3903333
no,no,-1.404040026,359.124
yes,no,0.64397867,284.49
yes,yes,0.44741771,327.924
no,no,-0.362633202,390.9776667
yes,no,-0.174792782,368.5943333
yes,yes,-0.874441664,305.3323333
no,no,-1.141377377,319.9296667
yes,no,0.022727438,365.9703333
no,no,1.309181421,295.8563333
yes,no,-0.541665877,359.7606667
yes,no,-0.519951734,412.8223333
no,no,-0.456553412,325.9896667
yes,yes,2.296869722,313.9556667
yes,no,0.079149328,257.2793333
yes,yes,-1.274976042,256.8703333
no,yes,0.42866855,367.5756667
yes,no,-0.78627701,314.285
yes,no,0.298994128,315.8096667
yes,no,0.641100892,361.0646667
no,no,-2.203800701,315.6876667
no,yes,-0.229121742,321.43
yes,no,0.116211621,301.3063333
no,no,-1.04362013,356.1053333
yes,no,0.392827133,344.587
yes,yes,0.024471546,333.333
yes,no,-0.070582335,353.9746667
yes,no,-1.015888814,273.4966667
no,no,-1.642721192,343.06
no,no,-0.723750742,287.2016667
yes,no,0.365095817,339.9386667
no,no,-1.136755491,286.2983333
no,no,-0.88359823,340.971
yes,yes,2.191874427,495.9556667
yes,yes,1.219011043,487.001
yes,yes,2.075891252,462.462
no,no,-0.10590052,465.107
yes,yes,1.499376387,461.32
yes,yes,0.284866854,486.5623333
no,yes,1.19293663,567.19
yes,yes,0.673366888,417.1313333
yes,yes,2.059147816,450.9176667
yes,yes,1.826309412,498.2493333
yes,no,0.249635875,439.416
no,yes,0.05089478,463.5173333
yes,yes,1.075296552,465.1613333
yes,yes,1.390544054,512.5006667
yes,yes,0.434511312,465.521
yes,no,1.576117134,487.0986667
yes,yes,1.773724559,300.5706667
yes,yes,-0.812700244,492.203
yes,yes,1.168780736,371.6076667
yes,yes,1.12003292,472.8906667
yes,yes,1.168780736,545.5993333
no,yes,-0.019392768,493.3976667
yes,yes,0.461981011,402.064
yes,no,0.766066223,423.7653333
yes,yes,1.413130252,541.276
yes,yes,1.168780736,514.7383333
yes,yes,0.249635875,543.8253333
yes,yes,0.961406307,511.468
yes,yes,0.588080012,483.0923333
yes,yes,0.835656128,387.383
yes,yes,0.961406307,462.1416667
yes,yes,1.993133332,474.546
yes,yes,0.628368904,471.2706667
no,no,-0.877145031,503.7056667
yes,yes,0.802430872,511.8673333
no,no,0.533227819,380.6073333
yes,yes,0.022727438,449.5273333
yes,yes,1.914125245,560.3956667
yes,yes,1.415572003,322.5166667
no,no,-1.014493528,307.7726667
yes,yes,0.633950049,327.4566667
no,no,0.175249673,321.0173333
no,yes,-0.019392768,293.9126667
no,no,0.116298826,312.48
yes,no,-1.150882765,428.7126667
yes,yes,1.277874684,319.7606667
no,no,0.634560487,347.028
yes,no,-0.226069554,405.9993333
yes,no,-0.940020121,318.9523333
no,no,-0.625644672,284.7903333
no,no,-0.605413021,296.5193333
yes,no,-1.301486482,307.3136667
no,no,-1.039783092,271.1433333
yes,no,0.298994128,353.229
no,no,-0.219877971,347.9636667
yes,no,-0.070582335,345.3256667
no,no,-0.880458836,332.898
no,no,-1.03263225,313.692
no,no,-1.40717942,285.0236667
no,no,-0.796916068,339.4963333
no,no,-2.318911823,296.137
no,no,-1.060450771,367.4996667
no,no,-1.698009412,288.4266667
no,no,-0.728023806,316.326
yes,no,-0.871825502,314.5453333
no,no,0.430587069,337.6186667
yes,no,-1.110419462,321.916
yes,no,0.207166848,322.211
no,yes,-0.600006286,322.8383333
no,no,-0.604802583,363.3533333
no,no,-0.821944016,250.833
yes,no,-0.940020121,329.1936667
yes,no,0.313819045,248.0993333
no,yes,-1.220647081,282.9593333
no,yes,-0.842262873,319.3623333
no,no,-1.698009412,291.558
no,no,-0.540008975,311.4163333
no,no,-0.88586557,284.5236667
yes,no,-0.497016715,302.0596667
no,no,-1.393662584,363.5926667
yes,no,0.384629826,312.7476667
no,yes,-0.485592808,254.854
yes,no,-0.541665877,313.3343333
no,no,-2.317952563,344.341
no,no,-0.877145031,287.736
no,no,-0.293217708,298.9453333
no,no,-2.317952563,301.6216667
yes,no,-0.052618023,399.3653333
yes,yes,0.38000794,364.1376667
no,no,0.071213637,431.609
no,no,-0.786102599,315.3083333
yes,yes,0.245101194,321.2283333
yes,no,0.984166915,255.096
yes,no,0.152837887,360.9046667
yes,no,0.019064811,441.086
yes,yes,0.895915055,376.3113333
no,no,-0.046688057,358.9483333
no,no,0.506281352,318.395
yes,yes,1.079308001,258.7666667
yes,yes,1.823954866,250.4006667
no,no,-0.390800544,328.293
yes,no,-0.064303546,438.5773333
no,no,-0.853076342,420.6003333
no,no,-0.454460483,406.0743333
yes,yes,0.342248004,325.2386667
no,no,0.565668225,247.323
no,no,-0.491609981,334.056
no,no,-0.437368225,366.3633333
yes,no,0.043831143,343.1356667
no,no,-1.220123849,404.141
yes,no,0.633950049,307.187
no,yes,0.305185711,353.6423333
no,no,-1.698009412,440.705
yes,no,0.082027106,349.1443333
no,no,-0.326704579,319.0483333
yes,no,-0.723314715,360.857
yes,yes,0.576481694,319.293
no,no,-1.200241019,313.928
yes,no,-0.241243292,441.1536667
yes,no,-0.193018709,376.2783333
no,no,-0.796916068,410.825
no,no,-0.864500249,332.771
no,no,-1.698009412,357.0453333
no,no,-0.426118729,328.469
yes,yes,1.721575733,538.1393333
no,no,-0.349203571,488.7076667
yes,yes,1.296798255,525.3943333
yes,yes,1.771195603,416.9456667
yes,yes,0.785076999,563.917
yes,yes,1.501730933,497.7166667
yes,yes,1.523881103,548.543
yes,no,1.021665235,554.9576667
yes,yes,1.370050787,542.293
yes,no,-0.187350358,528.9663333
yes,yes,-0.184210964,559.0316667
yes,yes,1.895899317,609.5526667
yes,yes,1.501730933,517.833
yes,yes,0.512124113,558.7126667
yes,yes,0.249635875,601.037
no,yes,-0.35679044,558.307
yes,no,-0.41303792,528.197
yes,yes,1.168780736,495.732
yes,yes,0.24082813,461.8613333
yes,yes,0.24632207,535.7903333
yes,yes,-0.06500119,529.321
yes,yes,1.168780736,492.449
yes,yes,0.249635875,540.3863333
yes,yes,0.294023421,481.3636667
yes,yes,1.028118434,534.6773333
yes,no,0.048801851,525.9966667
yes,yes,0.816209325,523.324
yes,yes,1.551263597,558.0486667
yes,no,0.526425798,456.9303333
yes,yes,1.190320468,534.9026667
yes,no,1.521352147,500.4193333
yes,yes,1.022275672,607.8503333
yes,yes,1.074598909,489.3003333
yes,yes,0.653309647,595.9566667
yes,yes,1.757940383,495.6086667
yes,yes,0.31695844,572.1173333
yes,no,0.049412288,524.9496667
yes,no,-0.284235552,442.393
yes,yes,0.818302254,576.688
yes,yes,-0.22633117,475.474
no,yes,-0.20435541,376.1516667
yes,yes,0.096939229,448.8893333
yes,no,0.260885371,482.356
no,no,-1.642721192,353.015
yes,yes,0.598893481,355.5933333
no,no,-1.65789493,366.0866667
no,yes,0.40311737,350.2706667
no,no,-0.371876974,355.3866667
yes,yes,0.527821084,479.204
no,no,-0.605413021,334.1653333
yes,yes,0.802430872,348.5993333
no,no,-0.605413021,401.106
yes,yes,0.384281004,350.583
no,yes,-0.429345329,351.7656667
no,yes,-0.140695472,378.9103333
no,no,-0.491609981,410.1133333
yes,yes,-0.07939008,389.7196667
yes,no,-0.232697164,373.875
no,yes,-0.00666078,492.4786667
yes,no,-0.7974393,370.2976667
no,no,-0.237057433,334.5583333
no,no,-0.854122807,374.412
no,yes,-0.167467528,406.0133333
no,no,-1.014493528,373.6413333
yes,yes,-0.439373949,344.4183333
no,yes,-0.30376956,380.4133333
yes,no,0.998294189,364.4986667
yes,yes,-0.039973241,388.603
no,yes,0.052115656,360.7953333
no,no,-0.297054745,362.1693333
no,no,-1.789749487,390.865
yes,yes,1.168780736,335.962
